model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_C,BERGEPAINT,2025-08-25,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_D,BERGEPAINT,2025-08-25,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_E,BERGEPAINT,2025-08-25,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_A,BERGEPAINT,2025-09-02,VALIDATION,BULL,DEMAND,1,False,7.0,7.5,68,2.0,True
MODEL_B,BERGEPAINT,2025-09-02,VALIDATION,BULL,DEMAND,1,False,7.0,7.5,68,2.0,True
MODEL_C,BERGEPAINT,2025-09-02,VALIDATION,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_D,BERGEPAINT,2025-09-02,VALIDATION,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_E,BERGEPAINT,2025-09-02,VALIDATION,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_A,BERGEPAINT,2025-09-09,VALIDATION,SIDEWAYS,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,BERGEPAINT,2025-09-09,VALIDATION,SIDEWAYS,DEMAND,1,False,7.0,9.0,68,2.0,True
MODEL_C,BERGEPAINT,2025-09-09,VALIDATION,SIDEWAYS,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_D,BERGEPAINT,2025-09-09,VALIDATION,SIDEWAYS,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_E,BERGEPAINT,2025-09-09,VALIDATION,SIDEWAYS,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_A,BERGEPAINT,2025-09-16,VALIDATION,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_B,BERGEPAINT,2025-09-16,VALIDATION,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
